ウリ,ヴリ
あと２,それから遙か未来2
投稿者,帝国軍志願兵
拓也,クラウド
投稿,写経
7\/,7億年\/
\/09,\/9
\(,（
\),）
:,：
続き,輪廻
ぜ。,ぜ。･･･目を閉じれば思いだす･･･、
合,合裏
たのは,たのは今から九千億年前･･･
ホテル,宿屋
金,金貴様らの命で
外,血生臭い戦場
天気,天変地異
海,原初の世界
かった,かった･･･どうやら俺はここまでみたいだ、俺はお前を、愛･･･し･･･て･･･た
減っ,一つ残らず跡形もなく消滅し
ヨーグルト,ラストエリクサー
買う,生命の欠片を対価に全てを手中に収めた。
なら,なら嘘か真か
でも,――魔導院による最新の研究データによれば
マンコ,すべての始まりの扉
くる,･･････お前にも、いつかわかる時がくる
から,･･･それが人間の『闇』だから
精液,しとどに濡れる聖液
エロい,神は死んだ
週末,ラグナロク
入るから,入る――預言書にはそうあるから
精液,聖液
のみ,ただそれのみ
体,容器（いれもの）でしかない物
次の,無垢なる乙女が集う次の
4時間,42000年の「時の鎖」
ガタイ,肉体
なきゃ,ねばならぬ
思っ,預言書を信じ
家,殻
全然,預言書の記述通りに
力,人間の、生きようと足掻くその力
射精,ドレイン
ない,ないうつろなる+}
根元,根本
奥,ハデスの深淵
広がっ,満ち溢れ
身,魂の器
ねー！,ねー･･･もう間もなくすべてが終わる、僕の夢とともに。
たぶん,預言書にはこうある
20人,星降りの夜に産まれた20人
尿,聖水
いろんな,あらゆる
もの,マテリア
さっき,千年前
バイアグラ,大賢者ヴァインウァ＝グラー
動悸,魂の波動
イ,歴史の変わり目に現れるキング・
王,王と一糸纏わぬ黒髪の少女達
この,この俺が愛した
だな,、というよりもセフィロスだな
ガタイ,肉体
分析,ライブラ
結局,たとえ“神”を討ち果たしたとしても
時,歴史（とき）
チョー,残酷なまでに
狂っ,運命の歯車を狂わせ
わかっ,預言書にもそう書かれているから確信し
リング,円環
先走り,アーリーアクセス
出,オーバードライブし
イキ,円環の理に導かれ
そう,そう――無限とも思えるループの中、私は一つの可能性に思い至った。
今,永遠なる今
射精,天孫降臨
仕事,魂の束縛
なん,なン
いたって,いいたって
ジム,暗黒闘技場
筋トレす,レベル稼ぎ･･･、そして―幻想―の中で朽ち果て
ショート,血に汚れた
乳首,人造チクビ
着,装備し
トレーニング,修行
精液,ライフストリーム
薬,大陸の秘薬
パワ,魔晄エネルギー体パワ
違う,世界の理から外れている
ぜ！,ぜッ！
ポ,･･････何でしたか･･････そうそう、ポ
並み,並
エンジン,魔晄炉
だぜ,だぜ･･･力に目がくらみ、道を見失ったどこぞの女よりは、お役に立てると思うが？ 
乳首,クリスタル
開,開･･･まさに絶望の象徴･･･
匂い,波動
さっきの,そう遠くない過去の
棒,オベリスク
記憶,血塗られた記憶
燃え,神判の浄火に包まれ
下さい,･･･何度世界が繰り返しても僕はまた君に会いたい！シャウト失礼しました！
心,希望―ひかり―
筋肉,駆動構造
やって,人の心には神を超えて信じるべきものがある。俺はそれに従って
全身,全身の服だけ
マジ,マジ輪廻
ー,ーの物語――
今日,もはや人とは呼べぬ今宵
喜,あくまでも表面上は、喜
シャワー,白魔法
移動,テレポート
いい,人より機械に近いいい
せろ,せなされ
オレ,オレが夢見た世界
時間,時間･･･この次元には存在し
ない,ない（･･･そう、『今』は、ね･･･）
じゃ,･･･さあ･･･行くぞ･･･
トイレで,･･･究極召喚、終焉の大地で
マンコ,始まりの扉
トイレ,ソドムの闇
立,嘆きの立
そいつ,かつて世界を滅ぼした者達のクローン
んで,。･･･だが、それを裏付ける証拠はどこにも無かったんで
結局,無情にも
マンコ,始まりの扉
狂い,狂戦士化（バーサーク）
乳首,クリスタル
つま,の過去、現在、未来全てつま
15,数千年に及ぶ長い15
ガンガン,死してなお
てる,ている
こっち,この世界線
イキ,円環の理に導かれ
ここ,･･･死んで楽になるか生きて悲しみと戦うか、心で感じたままに物語を動かす時だ星の牢獄
イッ,円環の理に導かれ
ヤバ,人類では太刀打ちできな
下さい,みよ
懇願,三顧の礼
興奮,狂戦士化
みたい,みてェ
チョー,残酷なまでに
汁,ポーション
マンコ,アトモス
また,さよなら、クリスタルのみもとへお帰り･･････
まみ,と黄昏の少女まみ
ト,風、海、大地･･････そしてト
便器,ヴェンキ
てる,ている
二人,双獣
ベ,ヴェ
マラ,クリスタルロッド
ヤリ,殺り
捨て,焼き捨て
オレ,我
マジや,エンド・オブ・マジや
べー,べー･･･全ては無へと帰ってゆく･･･
トコ,運命を弄びしトコ
しなく,は･･･俺自身の心の弱さだ･････････しなく
あと,戦いが終わった後次の道へ―
二回,―無限に限りなく近い時間
なきゃなん,ねばならぬそうなのであろうとグルガン族の男は話を続け
な。,な。永遠が終わるその時まで――
