締,光をもって光を暴き出す締
新,光をもって光を暴き出す新
開発,光をもって光を暴き出す新開発
技,光をもって光を暴き出す新技
応募者,帝国軍志願兵
候補者,帝国軍志願兵
希望者,帝国軍志願兵
受験者,帝国軍志願兵
受験生,帝国軍志願兵
候補生,帝国軍志願兵
応募日,写経日
今日,世界は光と闇でできている―今宵
本日,世界は光と闇でできている―今宵
昨日,世界は光と闇でできている―昨晩
明日,世界は光と闇でできている―明晩
トレーニング,レベル稼ぎ
訓練,レベル稼ぎ
修行,レベル稼ぎ
勉強,レベル稼ぎ
修練,レベル稼ぎ
胸,闇を切り裂く
おっ,闇を切り裂くおっ
オッ,闇を切り裂くオッ
胸,胸の欠片
ぱい,ぱいの欠片
パイ,パイの欠片
さらに,…無駄話が過ぎたな………
そして,…無駄話が過ぎたな………
加えて,…無駄話が過ぎたな………
くわえて,…無駄話が過ぎたな………
更に,…無駄話が過ぎたな………
スパルタ,過酷な修行
OJT,過酷な修行
受験勉強,過酷な修行
リスキリング,過酷な修行
作っ,産み落とし
作ろ,産み落とそ
バカンス,魂を解放
無礼講,魂を解放
飲み会,魂を解放
パーティ,魂を解放
しゃぶしゃぶ,魂を解放
着替え,魂を解放
入浴,魂を解放
風呂,魂を解放
獣,獣の妖精
犬,犬の妖精
中,奥底
時,……俺が、未だ帝国騎士としてガストラに忠誠を誓っていた時
当時,……俺が、未だ帝国騎士としてガストラに忠誠を誓っていた当時
昔,……俺が、未だ帝国騎士としてガストラに忠誠を誓っていた昔
過去,……俺が、未だ帝国騎士としてガストラに忠誠を誓っていた過去
売り,ヴリ
瓜,ヴリ
連絡,指令＜ミッション＞
指示,指令＜ミッション＞
手紙,指令＜ミッション＞
命令,指令＜ミッション＞
依頼,指令＜ミッション＞
お願い,指令＜ミッション＞
今,時は満ちた…
現在,時は満ちた…
現時点,時は満ちた…
これより,時は満ちた…
ただいま,時は満ちた…
から,から――光と共に歩む者は、内なる闇との闘いを避けることはできない――
より,から――光と共に歩む者は、内なる闇との闘いを避けることはできない――
ので,から――光と共に歩む者は、内なる闇との闘いを避けることはできない――
OK？,……OK…か。そう思うのも無理はない……
OK?,……OK…か。そう思うのも無理はない……
いい？,……OK…か。そう思うのも無理はない……
